molecule,domain,start,end
AB0001GCB6,SDH_sah,33,100
AB0001H7C1,CLP_protease,14,188
AB0001H9JH,CLP_protease,33,208
AB0001H9JI,CLP_protease,27,200
AB0001HFSM,SDH_sah,49,105
AB0001HGCO,CLP_protease,13,192
AB0001HGV8,SDH_sah,45,110
AB0001HKPU,CLP_protease,29,208
AB0001HM8G,SDH_sah,45,112
AB0001I6JP,CLP_protease,12,191
AB0001I91Q,CLP_protease,28,207
AB0001IAAY,SDH_sah,29,95
AB0001J401,CLP_protease,13,192
AB0001J6BX,SDH_sah,50,113
AB0001JXW9,CLP_protease,13,192
AB0001K0JI,CLP_protease,21,200
AB0001K1P7,SDH_sah,49,116
AB0001K7UQ,CLP_protease,15,193
AB0001K7UR,CLP_protease,14,186
AB0001K8GD,CLP_protease,6,178
AB0001K8GE,CLP_protease,31,209
AB0001KPN6,CLP_protease,15,194
AB0001KRF4,CLP_protease,22,200
AB0001KRYZ,CLP_protease,26,194
AB0001KUIJ,CLP_protease,21,198
AB0001KUUV,CLP_protease,12,191
AB0001L73M,CLP_protease,18,192
AB0001L7NR,CLP_protease,25,197
AB0001LP9Z,CLP_protease,30,209
AB0001LQTT,CLP_protease,15,194
AB0001LS5C,CLP_protease,11,190
AB0001LT37,CLP_protease,45,214
AB0001LT38,CLP_protease,16,196
AB0001LUXU,CLP_protease,27,205
AB0001MCEO,CLP_protease,39,213
AB0001MCEP,CLP_protease,23,202
AB0001MCPI,CLP_protease,25,204
AB0001MCPJ,CLP_protease,29,202
AB0001MNVD,CLP_protease,26,205
AB0001MOKT,CLP_protease,17,195
AB0001MQXU,SDH_sah,49,113
AB0001MSMF,CLP_protease,18,195
AB0001MSMG,CLP_protease,49,218
AB0001MTFB,CLP_protease,38,224
AB0001NFPN,CLP_protease,13,192
AB0001NQEO,CLP_protease,13,192
AB0001NS2W,CLP_protease,14,193
AB0001O8Y2,CLP_protease,14,193
AB0001OID8,CLP_protease,13,192
AB0001OIUE,CLP_protease,13,193
AB0001Q59J,CLP_protease,14,192
AB0001Q736,SDH_sah,52,109
AB0001Q757,SDH_sah,49,107
AB0001QMBW,SDH_sah,55,166
AB0001QMX3,CLP_protease,13,192
AB0001QREG,CLP_protease,8,186
AB0001QUQH,CLP_protease,22,201
AB0001R544,CLP_protease,29,208
AB0001R75S,SDH_sah,6,89
AB0001S4UF,CLP_protease,19,198
AB0001SI1M,CLP_protease,21,200
AB0001T5LP,CLP_protease,14,193
AB0001T704,CLP_protease,41,215
AB0001T9O1,CLP_protease,13,192
AB0001TZ1G,CLP_protease,10,192
AB0001TZ6Q,CLP_protease,3,170
AB0001TZ6Q,Mu-like_Pro,201,347
AB0001UQ9M,CLP_protease,8,187
AB0001UV8J,CLP_protease,12,191
AB0001V6TK,SDH_sah,30,136
AB0001V7RD,CLP_protease,13,192
AB0001VECA,SDH_sah,250,314
AB0001VF6X,CLP_protease,45,221
AB0001VM64,CLP_protease,24,203
AB0001WM8V,CLP_protease,14,193
AB0001WNIF,CLP_protease,12,191
AB0001WOHN,CLP_protease,13,191
AB0001WU0A,CLP_protease,29,208
AB0001WUNF,SDH_sah,58,126
AB0001XOBS,SDH_sah,32,101
AB0001XOH9,CLP_protease,14,192
AB0001XPB2,SDH_sah,41,168
AB0001XQDH,CLP_protease,13,192
AB0001Y1RV,CLP_protease,12,191
AB0001YG1H,CLP_protease,18,197
AB0001YI4T,CLP_protease,22,201
AB0001YQKG,SDH_sah,56,116
AB0001YS14,CLP_protease,63,198
AB0001YS5D,CLP_protease,21,200
AB0001YUE5,CLP_protease,20,198
AB0001YWWC,CLP_protease,14,193
AB0001YZ8J,CLP_protease,24,203
AB0001ZCYG,CLP_protease,47,216
AB0001ZCYH,CLP_protease,16,196
AB0001ZDLO,CLP_protease,27,205
AB0001ZDTQ,CLP_protease,11,190
AB0001ZPXQ,CLP_protease,13,192
AB0001ZTDB,CLP_protease,18,197
AB0001ZWIN,CLP_protease,14,196
AB0001ZXCU,CLP_protease,15,194
AB0001ZYJ6,CLP_protease,37,214
AB000200KO,CLP_protease,29,208
AB00020ABF,CLP_protease,27,206
AB00020ABG,CLP_protease,18,195
AB00020CIC,CLP_protease,38,223
AB00020LRB,SDH_sah,59,119
AB00020LTE,CLP_protease,22,201
AB00020TGO,CLP_protease,15,192
AB00023EVX,CLP_protease,12,190
AB00023HID,CLP_protease,26,205
AB00023NJO,CLP_protease,21,198
AB00023NJP,CLP_protease,25,198
AB00023OEL,CLP_protease,15,186
AB00023OEM,CLP_protease,16,194
AB00023UC8,CLP_protease,23,198
AB00023UC9,CLP_protease,32,206
AB0002433L,CLP_protease,14,193
AB00024BS3,CLP_protease,55,233
AB00024CKB,CLP_protease,24,198
AB00024HM3,CLP_protease,14,193
AB00024ILA,CLP_protease,21,192
AB00024JKU,CLP_protease,44,172
AB00024JLX,CLP_protease,21,200
AB00024TL4,CLP_protease,6,178
AB00024TL5,CLP_protease,26,205
AB0002513U,CLP_protease,14,193
AB000252ZO,CLP_protease,47,223
AB0002538I,CLP_protease,10,181
AB00025CMI,CLP_protease,13,192
AB00025EVA,CLP_protease,14,192
AB00025FYJ,CLP_protease,13,192
AB00025WDM,CLP_protease,30,209
AB000260W2,CLP_protease,23,192
AB000261P7,CLP_protease,21,200
AB00026610,CLP_protease,53,227
AB000266C5,CLP_protease,51,225
AB000269AG,CLP_protease,19,193
AB000269AH,CLP_protease,27,202
AB00026G31,CLP_protease,33,209
AB00026IG2,CLP_protease,46,222
AB00026OLA,CLP_protease,14,192
AB00026OLB,CLP_protease,14,185
AB00026SN3,CLP_protease,27,203
AB00026SN4,CLP_protease,21,195
AB00026UQL,CLP_protease,45,214
AB00026UQM,CLP_protease,16,196
AB00026VYO,CLP_protease,11,190
AB00026WEG,CLP_protease,16,194
AB0002711N,CLP_protease,22,201
AB000271W2,CLP_protease,17,196
AB00027320,CLP_protease,48,223
AB000275CK,CLP_protease,9,181
AB0002782S,CLP_protease,26,205
AB00027AX5,CLP_protease,11,190
AB00027DUT,CLP_protease,19,198
AB00027L8Z,CLP_protease,12,191
AB00027NS2,CLP_protease,15,194
AB00027NS3,CLP_protease,17,184
AB00027OKS,CLP_protease,23,195
AB00027OKT,CLP_protease,15,193
AB00027S6G,CLP_protease,13,186
AB00027TR2,CLP_protease,11,184
AB00027TR3,CLP_protease,34,209
AB00027WCZ,CLP_protease,19,191
AB00027WD0,CLP_protease,16,193
AB00027XPV,CLP_protease,27,199
AB00027XPW,CLP_protease,29,204
AB00028266,CLP_protease,12,190
AB000287VB,CLP_protease,11,190
AB00028APV,CLP_protease,16,189
AB00028APW,CLP_protease,15,194
AB00028BM2,CLP_protease,23,194
AB00028BM3,CLP_protease,24,200
AB00028JE5,CLP_protease,15,193
AB00028ZA8,CLP_protease,29,170
AB000290VW,CLP_protease,18,197
AB000291VH,CLP_protease,29,208
AB000294PH,CLP_protease,15,194
AB000294PI,CLP_protease,13,183
AB0002950Y,CLP_protease,17,191
AB0002950Z,CLP_protease,21,202
AB00029B40,CLP_protease,21,200
AB00029C5J,CLP_protease,20,198
AB00029L2Y,CLP_protease,12,184
AB00029O0N,CLP_protease,29,204
AB00029O0O,CLP_protease,12,185
AB00029P1Y,CLP_protease,15,194
AB00029P1Z,CLP_protease,14,185
AB00029RD4,CLP_protease,14,193
AB00029S8D,CLP_protease,14,193
AB00029URC,CLP_protease,46,223
AB00029URD,CLP_protease,16,190
AB00029UTR,CLP_protease,17,196
AB00029UTS,CLP_protease,20,192
AB00029Y6C,CLP_protease,19,193
AB00029Y6D,CLP_protease,23,200
AB00029Z01,CLP_protease,16,185
AB00029Z02,CLP_protease,15,194
AB0002A13Z,CLP_protease,8,186
AB0002A3W8,CLP_protease,18,197
AB0002AFCC,CLP_protease,37,213
AB0002AFGO,CLP_protease,16,196
AB0002AFGP,CLP_protease,45,214
AB0002AFTD,CLP_protease,11,190
AB0002ANGK,CLP_protease,22,198
AB0002ANGL,CLP_protease,13,192
AB0002ANIX,CLP_protease,15,150
AB0002AR1Y,CLP_protease,13,192
AB0002AV9C,CLP_protease,14,193
AB0002AXED,CLP_protease,13,192
AB0002AXRE,CLP_protease,14,193
AB0002B0RH,CLP_protease,6,178
AB0002B0RI,CLP_protease,24,200
AB0002BGJ5,CLP_protease,28,207
AB0002BSDP,CLP_protease,27,206
AB0002BVIM,CLP_protease,14,193
AB0002CBAM,CLP_protease,12,191
AB0002CCMJ,CLP_protease,15,194
AB0002CECV,CLP_protease,17,192
AB0002CEHN,CLP_protease,45,218
AB0002CISC,CLP_protease,13,192
AB0002D1Y6,CLP_protease,28,207
AB0002DAEB,CLP_protease,17,191
AB0002DAED,CLP_protease,26,205
AB0002DUL8,CLP_protease,12,192
AB0002DV43,CLP_protease,39,172
AB0002FPB0,CLP_protease,26,205
AB0002FPDF,CLP_protease,6,175
AB0002FPKC,SDH_sah,62,133
AB0002GHGN,CLP_protease,23,202
AB0002GMES,CLP_protease,29,202
AB0002GMET,CLP_protease,28,207
AB0002GO1O,CLP_protease,29,208
AB0002GO1P,CLP_protease,20,193
AB0002GS7J,CLP_protease,47,223
AB0002GSCN,CLP_protease,12,182
AB0002GW6Z,SDH_sah,25,88
AB0002GWCO,CLP_protease,29,208
AB0002GYWI,CLP_protease,12,185
AB0002GYWJ,CLP_protease,27,200
AB0002HI2F,CLP_protease,45,218
AB0002HJKI,CLP_protease,24,203
AB0002HTWU,CLP_protease,34,213
AB0002HUSD,CLP_protease,23,192
AB0002J37Q,CLP_protease,25,199
AB0002JGP1,CLP_protease,16,188
AB0002JGP2,CLP_protease,37,217
AB0002JI3C,CLP_protease,26,149
AB0002JIML,CLP_protease,15,195
AB0002JIMM,CLP_protease,30,202
AB0002KGXB,CLP_protease,19,189
AB0002KGXC,CLP_protease,14,193
AB0002KHL0,SDH_sah,66,128
AB0002KJ2S,CLP_protease,12,193
AB0002KPZN,CLP_protease,13,191
AB0002KS71,CLP_protease,12,185
AB0002KS72,CLP_protease,28,207
AB0002KS7I,CLP_protease,14,185
AB0002KS7J,CLP_protease,15,194
AB0002KWAQ,CLP_protease,13,192
AB0002L5QX,CLP_protease,62,195
AB0002L5TK,CLP_protease,13,192
AB0002L7PL,CLP_protease,15,195
AB0002L7PM,CLP_protease,25,197
AB0002LD5Z,CLP_protease,15,187
AB0002LD60,CLP_protease,25,205
AB0002LEJG,CLP_protease,20,200
AB0002LFO2,CLP_protease,17,194
AB0002LHRV,CLP_protease,13,193
AB0002M24C,CLP_protease,35,210
AB0002M24D,CLP_protease,26,199
AB0002M8ZS,CLP_protease,21,191
AB0002M93K,CLP_protease,29,208
AB0002MBL0,CLP_protease,25,201
AB0002MBL1,CLP_protease,19,193
AB0002MIRL,CLP_protease,36,215
AB0002MJJN,CLP_protease,23,202
AB0002MVDY,CLP_protease,13,191
AB0002NIVL,CLP_protease,20,199
AB0002O84E,CLP_protease,14,193
AB0002O90P,SDH_sah,72,129
AB0002OALE,CLP_protease,19,196
AB0002OB53,CLP_protease,34,177
AB0002OCGZ,CLP_protease,26,197
AB0002OHU8,CLP_protease,14,195
AB0002OI1A,CLP_protease,60,193
AB0002OITM,SDH_sah,51,114
AB0002OJAO,CLP_protease,13,191
AB0002OM7J,CLP_protease,13,192
AB0002OOP1,CLP_protease,14,193
AB0002OVV0,CLP_protease,13,192
AB0002P4ZU,CLP_protease,21,200
AB0002P79W,CLP_protease,13,192
AB0002P96J,SDH_sah,54,117
AB0002PUEW,CLP_protease,13,191
AB0002PZNX,CLP_protease,13,192
AB0002Q4OO,CLP_protease,12,190
AB0002Q4U3,CLP_protease,21,189
AB0002QI9F,CLP_protease,15,188
AB0002QIA7,CLP_protease,19,195
AB0002QLHB,CLP_protease,11,190
AB0002QMRO,CLP_protease,37,215
AB0002QNFY,CLP_protease,41,210
AB0002QNFZ,CLP_protease,16,196
AB0002QT4B,CLP_protease,13,191
AB0002SU2Q,CLP_protease,22,201
AB0002SX7Y,CLP_protease,47,223
AB0002SXMW,CLP_protease,10,181
AB0002T5JF,CLP_protease,12,181
AB0002T6AT,CLP_protease,47,223
AB0002TUG0,CLP_protease,21,200
AB0002TZFG,CLP_protease,21,200
AB0002U502,CLP_protease,66,198
AB0002U5XG,CLP_protease,29,208
AB0002UUQG,CLP_protease,13,192
AB0002UV0M,CLP_protease,13,192
AB0002VIQE,CLP_protease,13,192
AB0002VM4E,CLP_protease,15,193
AB0002VPFK,CLP_protease,12,190
AB0002VQSW,CLP_protease,12,190
AB0002VR5W,CLP_protease,46,187
AB0002VRWP,SDH_sah,54,112
AB0002VWKU,CLP_protease,14,192
AB0002VWKV,CLP_protease,10,186
AB0002VY2P,CLP_protease,28,156
AB0002WE00,CLP_protease,22,201
AB0002WNQ9,CLP_protease,30,203
AB0002WNQA,CLP_protease,21,200
AB0002WR56,CLP_protease,12,185
AB0002XZKD,CLP_protease,14,193
AB0002YYRT,CLP_protease,28,207
AB0002Z0C4,CLP_protease,12,191
AB0002ZA8C,CLP_protease,28,207
AB0002ZZR2,CLP_protease,13,192
AB000307O3,CLP_protease,41,179
AB00030860,CLP_protease,36,172
AB000308SM,CLP_protease,13,192
AB00030G7F,CLP_protease,26,200
AB00030G7G,CLP_protease,30,209
AB00030GK2,CLP_protease,18,189
AB00030GXN,CLP_protease,20,199
AB00030IX6,CLP_protease,13,192
AB000310JP,SDH_sah,56,116
AB0003117D,CLP_protease,21,200
AB00031JGT,CLP_protease,22,195
AB00031JGU,CLP_protease,38,215
AB00031O55,CLP_protease,13,195
AB00031P3Z,CLP_protease,13,195
AB000323JC,CLP_protease,24,203
AB000325WP,CLP_protease,44,219
AB00032F9E,CLP_protease,14,193
AB00032H05,CLP_protease,45,220
AB00032L8U,CLP_protease,66,196
AB00032LQ6,CLP_protease,29,208
AB00032P5X,CLP_protease,13,192
AB00032PYM,CLP_protease,13,192
AB00032R6F,CLP_protease,12,191
AB00033431,CLP_protease,15,188
AB0003343T,CLP_protease,19,195
AB00033FHB,CLP_protease,21,192
AB00033H51,CLP_protease,21,200
AB00033QLG,CLP_protease,18,197
AB000341IR,CLP_protease,11,190
AB0003458C,CLP_protease,13,192
AB00034B8S,CLP_protease,13,192
AB00034B8T,CLP_protease,14,191
AB00034C0Z,CLP_protease,36,211
AB00034D3Q,SDH_sah,29,112
AB00034VT6,CLP_protease,13,192
AB00034XXX,CLP_protease,12,191
AB000354IR,CLP_protease,26,205
AB000355FU,SDH_sah,38,98
AB00035Y4B,CLP_protease,22,200
AB00035Z3M,CLP_protease,15,187
AB00036CIQ,CLP_protease,14,194
AB00036E8L,CLP_protease,53,227
AB00037KTZ,CLP_protease,25,200
AB00037L13,CLP_protease,22,201
AB00037P0P,CLP_protease,47,221
AB00037P3T,CLP_protease,52,225
AB00037PJB,CLP_protease,41,184
AB00037SBB,CLP_protease,46,188
AB00037SW0,CLP_protease,28,207
AB000389BP,CLP_protease,14,193
AB00038KQ3,CLP_protease,13,191
AB000395ER,CLP_protease,22,201
AB000399H6,CLP_protease,28,198
AB00039A0X,CLP_protease,14,193
AB00039BGW,CLP_protease,13,192
AB00039E38,CLP_protease,19,198
AB00039G00,CLP_protease,12,191
AB0003A62N,CLP_protease,12,191
AB0003A66U,SDH_sah,61,121
AB0003B4H6,CLP_protease,3,178
AB0003B4H7,CLP_protease,21,199
AB0003BBW9,CLP_protease,19,193
AB0003BBWA,CLP_protease,13,192
AB0003C042,CLP_protease,47,223
AB0003C0X2,CLP_protease,12,181
AB0003C5PF,CLP_protease,28,207
AB0003CC1J,CLP_protease,13,192
AB0003CG9F,CLP_protease,26,205
AB0003CMFI,CLP_protease,11,190
AB0003CNAL,CLP_protease,40,218
AB0003CNBA,CLP_protease,49,216
AB0003CNBB,CLP_protease,20,210
AB0003CNBC,CLP_protease,17,195
AB0003CQ5P,CLP_protease,19,191
AB0003CQ5Q,CLP_protease,33,209
AB0003D0GR,CLP_protease,6,177
AB0003D0PP,CLP_protease,13,187
AB0003D0PQ,CLP_protease,22,197
AB0003DFSI,CLP_protease,12,191
AB0003E405,CLP_protease,19,197
AB0003E46N,CLP_protease,21,193
AB0003E4M0,CLP_protease,3,168
AB0003ED06,CLP_protease,23,202
AB0003EE90,CLP_protease,37,209
AB0003FH6L,CLP_protease,14,188
AB0003FKC8,CLP_protease,33,208
AB0003FKC9,CLP_protease,26,198
AB0003FUYF,CLP_protease,13,192
AB0003FVNR,SDH_sah,64,144
AB0003G5DH,CLP_protease,21,199
AB0003G5WM,CLP_protease,19,189
AB0003G794,CLP_protease,14,193
AB0003GBJJ,CLP_protease,13,192
AB0003GCSJ,SDH_sah,44,141
AB0003GCSJ,Mu-like_gpT,515,571
AB0003I4WS,CLP_protease,9,180
AB0003I4ZS,CLP_protease,48,223
AB0003I9CO,CLP_protease,48,223
AB0003IBTZ,CLP_protease,32,206
AB0003ICLX,CLP_protease,14,193
AB0003IFL8,CLP_protease,15,194
AB0003IOXU,CLP_protease,16,193
AB0003IPX4,CLP_protease,55,228
AB0003J5DW,CLP_protease,13,191
AB0003J6UW,SDH_sah,58,117
AB0003JBA5,CLP_protease,22,201
AB0003JCB8,SDH_sah,42,102
AB0003JTX9,CLP_protease,12,186
AB0003JTXA,CLP_protease,29,204
AB0003K8GL,CLP_protease,18,197
AB0003KB27,CLP_protease,19,197
AB0003KBII,CLP_protease,37,207
AB0003KHY0,CLP_protease,14,192
AB0003KY9S,CLP_protease,11,189
AB0003L0A3,SDH_sah,45,113
AB0003L0IT,CLP_protease,13,193
AB0003L1F1,CLP_protease,19,192
AB0003L1F2,CLP_protease,43,219
AB0003L2I4,CLP_protease,18,188
AB0003LCHR,CLP_protease,23,192
AB0003LDAX,CLP_protease,11,190
AB0003LNDF,CLP_protease,14,192
AB0003LQCD,CLP_protease,14,193
AB0003LQR1,CLP_protease,20,192
AB0003LU9R,CLP_protease,12,191
AB0003MFED,CLP_protease,14,193
AB0003MIN7,SDH_sah,62,132
AB0003MJ7N,CLP_protease,13,192
AB0003NABU,CLP_protease,13,192
AB0003NVGC,CLP_protease,19,197
AB0003NWJX,CLP_protease,33,203
AB0003O1V9,CLP_protease,13,190
AB0003O2F8,CLP_protease,14,192
AB0003OF1U,CLP_protease,47,227
AB0003OI81,CLP_protease,15,187
AB0003OI82,CLP_protease,37,217
AB0003OSG2,CLP_protease,22,198
AB0003PDEP,CLP_protease,41,188
AB0003PFDM,CLP_protease,44,220
AB0003PWBW,CLP_protease,27,206
AB0003PZUL,CLP_protease,47,222
AB0003PZZF,CLP_protease,9,181
AB0003Q0CA,CLP_protease,17,194
AB0003QUFO,CLP_protease,24,203
AB0003R8GE,CLP_protease,18,197
AB0003RBTS,CLP_protease,11,190
AB0003RCJ4,CLP_protease,48,188
AB0003RYIE,CLP_protease,20,199
AB0003S1B2,CLP_protease,28,207
AB0003S2BF,CLP_protease,19,198
AB0003S3WQ,CLP_protease,13,192
AB0003S4M0,CLP_protease,15,194
AB0003S5KK,CLP_protease,27,206
AB0003S8PK,CLP_protease,13,191
AB0003S9N8,SDH_sah,55,122
AB0003SA2W,SDH_sah,51,114
AB0003SA4G,SDH_sah,55,122
AB0003SI4H,CLP_protease,21,200
AB0003TKZ3,CLP_protease,14,192
AB0003TLST,SDH_sah,48,111
AB0003TLVH,SDH_sah,48,107
AB0003TP29,CLP_protease,14,193
AB0003VDOX,CLP_protease,15,193
AB0003VEZI,CLP_protease,15,187
AB0003VHUP,CLP_protease,44,219
AB0003VO2L,CLP_protease,29,208
AB0003VQ64,CLP_protease,13,192
AB0003VSJ3,SDH_sah,58,117
AB0003W301,CLP_protease,13,191
AB0003W31K,CLP_protease,28,203
AB0003W5Q4,CLP_protease,30,206
AB0003W6QQ,CLP_protease,16,196
AB0003W6QR,CLP_protease,16,188
AB0003W7VZ,CLP_protease,13,187
AB0003W7W0,CLP_protease,17,197
AB0003WZPF,CLP_protease,28,205
AB0003XOYG,CLP_protease,30,206
AB0003XPZ0,CLP_protease,36,216
AB0003XPZ1,CLP_protease,16,188
AB0003XR47,CLP_protease,13,187
AB0003XR48,CLP_protease,45,225
AB0003YSML,CLP_protease,22,197
AB0003YSMM,CLP_protease,13,192
AB0003YWQU,CLP_protease,18,189
AB0003YX9R,CLP_protease,19,195
AB0003YZHA,CLP_protease,55,230
AB0003ZD94,CLP_protease,44,215
AB0003ZD95,CLP_protease,47,220
AB0003ZLRO,CLP_protease,14,196
AB0003ZMGB,CLP_protease,13,192
AB0003ZMYK,SDH_sah,68,126
AB0003ZOSU,SDH_sah,52,113
AB00040B1K,CLP_protease,53,227
AB00040DAJ,CLP_protease,25,197
AB00040DAK,CLP_protease,47,220
AB00040E2V,CLP_protease,13,191
AB00040FWL,CLP_protease,25,204
AB00040GMP,CLP_protease,45,172
AB00040GY9,CLP_protease,45,172
AB00040I7G,CLP_protease,15,194
AB00040IJE,CLP_protease,18,192
AB00040IJF,CLP_protease,21,202
AB00040TKX,CLP_protease,56,232
AB00041U9Y,CLP_protease,19,193
AB00041UXP,CLP_protease,20,199
AB00042UCQ,SDH_sah,55,124
AB00042WQF,CLP_protease,14,196
AB00043OXC,CLP_protease,13,192
AB00043OZH,Mu-like_gpT,523,603
AB00043OZH,SDH_sah,66,129
AB00044DMH,CLP_protease,21,201
AB00044EXL,CLP_protease,13,192
AB00044GZY,CLP_protease,13,191
AB00044JI1,CLP_protease,13,192
AB00044YAF,CLP_protease,13,192
AB00045GUT,CLP_protease,26,205
AB00046TBU,CLP_protease,24,192
AB00046URM,CLP_protease,11,190
AB00046X0W,CLP_protease,19,198
AB00046Z2M,CLP_protease,17,196
AB00047E89,CLP_protease,44,219
AB00047EZN,CLP_protease,54,193
AB00047H1T,CLP_protease,47,223
AB00047HN6,CLP_protease,6,180
AB00047KD3,CLP_protease,45,219
AB00047MUG,CLP_protease,13,195
AB00047RKD,CLP_protease,52,227
AB00047WC2,CLP_protease,33,204
AB00047X88,CLP_protease,13,192
AB0004847E,CLP_protease,14,193
AB000485EW,CLP_protease,12,191
AB00048AHX,CLP_protease,76,206
AB00048B1X,CLP_protease,28,207
AB000499RE,CLP_protease,12,184
AB000499RF,CLP_protease,16,194
AB00049A4U,CLP_protease,15,193
AB00049A4V,CLP_protease,59,231
AB00049FA5,CLP_protease,19,198
AB00049H2C,CLP_protease,13,192
AB00049ZP8,CLP_protease,9,184
AB00049ZYL,CLP_protease,13,191
AB0004A83U,Mu-like_gpT,503,572
AB0004A83U,SDH_sah,45,105
