taxid;name;rank
1892259;Aphanizomenonaceae;family
1118;Chroococcales;order
1150;Oscillatoriales;order
1903409;Erwiniaceae;family
1903411;Yersiniaceae;family
543;Enterobacteriaceae;family
1903410;Pectobacteriaceae;family
1903412;Hafniaceae;family
1903414;Morganellaceae;family
1903416;Budviciaceae;family
135621;Pseudomonadaceae;family
468;Moraxellaceae;family
72275;Alteromonadaceae;family
267890;Shewanellaceae;family
267889;Colwelliaceae;family
32033;Xanthomonadaceae;family
1775411;Rhodanobacteraceae;family
444;Legionellaceae;family
118968;Coxiellaceae;family
34064;Francisellaceae;family
135616;Piscirickettsiaceae;family
135617;Thiotrichaceae;family
28256;Halomonadaceae;family
224372;Alcanivoracaceae;family
135620;Oceanospirillaceae;family
255527;Saccharospirillaceae;family
224379;Hahellaceae;family
1706371;Cellvibrionaceae;family
1706372;Halieaceae;family
1706375;Spongiibacteraceae;family
72276;Ectothiorhodospiraceae;family
1046;Chromatiaceae;family
449719;Granulosicoccaceae;family
84642;Aeromonadaceae;family
568386;Sinobacteraceae;family
82115;Rhizobiaceae;family
119045;Methylobacteriaceae;family
31993;Methylocystaceae;family
41294;Bradyrhizobiaceae;family
69277;Phyllobacteriaceae;family
2831106;Devosiaceae;family
45404;Beijerinckiaceae;family
45401;Hyphomicrobiaceae;family
2821832;Stappiaceae;family
255475;Aurantimonadaceae;family
335928;Xanthobacteraceae;family
2813035;Parvibaculaceae;family
2829815;Azospirillaceae;family
433;Acetobacteraceae;family
41295;Rhodospirillaceae;family
2844866;Thalassospiraceae;family
2854170;Roseobacteraceae;family
31989;Rhodobacteraceae;family
41297;Sphingomonadaceae;family
335929;Erythrobacteraceae;family
2820280;Sphingosinicellaceae;family
942;Anaplasmataceae;family
1328881;Candidatus Midichloriaceae;family
775;Rickettsiaceae;family
29;Myxococcales;order
213118;Desulfobacterales;order
213115;Desulfovibrionales;order
69541;Desulfuromonadales;order
213462;Syntrophobacterales;order
117942;Desulfurellaceae;family
1779135;Bradymonadaceae;family
213849;Campylobacterales;order
235899;Nautiliales;order
481;Neisseriaceae;family
1499392;Chromobacteriaceae;family
119060;Burkholderiaceae;family
80864;Comamonadaceae;family
506;Alcaligenaceae;family
75682;Oxalobacteraceae;family
2008794;Zoogloeaceae;family
75787;Rhodocyclaceae;family
90627;Gallionellaceae;family
32011;Methylophilaceae;family
206379;Nitrosomonadaceae;family
2008793;Sterolibacteriaceae;family
2772226;Sulfuricellaceae;family
2008790;Thiobacillaceae;family
200643;Bacteroidia;class
200644;Flavobacteriales;order
1936988;Saprospirales;order
768507;Cytophagales;order
563843;Rhodothermaceae;family
84566;Sphingobacteriaceae;family
563835;Chitinophagaceae;family
2691354;Pirellulales;order
1914233;Gemmataceae;family
126;Planctomycetaceae;family
1763524;Isosphaeraceae;family
2483366;Sedimentisphaerales;order
134623;Opitutaceae;family
203557;Verrucomicrobiaceae;family
92713;Parachlamydiaceae;family
2183;Methanococcaceae;family
196117;Methanocaldococcaceae;family
2159;Methanobacteriaceae;family
1644055;Haloferacales;order
2235;Halobacteriales;order
1644061;Natrialbaceae;family
94695;Methanosarcinales;order
2191;Methanomicrobiales;order
1033997;Nitrososphaeraceae;family
2272;Desulfurococcaceae;family
2307;Pyrodictiaceae;family
2267;Thermoproteaceae;family
114378;Thermofilaceae;family
1577788;Methanomassiliicoccaceae;family
2169577;Solemoviridae;family
675072;Secoviridae;family
232795;Dicistroviridae;family
11974;Caliciviridae;family
12058;Picornaviridae;family
699189;Iflaviridae;family
324901;Marnaviridae;family
2022639;Solinviviridae;family
2169570;Polycipiviridae;family
11118;Coronaviridae;family
2508209;Tobaniviridae;family
1312872;Mesoniviridae;family
76803;Arteriviridae;family
675068;Betaflexiviridae;family
675064;Alphaflexiviridae;family
249184;Tymoviridae;family
69973;Closteroviridae;family
39740;Bromoviridae;family
675071;Virgaviridae;family
564644;Endornaviridae;family
2732890;Mayoviridae;family
2560061;Kitaviridae;family
291484;Hepeviridae;family
1283207;Alphatetraviridae;family
1513233;Benyviridae;family
1980416;Peribunyaviridae;family
1980418;Phenuiviridae;family
11617;Arenaviridae;family
1980419;Tospoviridae;family
1980415;Nairoviridae;family
1980417;Phasmaviridae;family
11308;Orthomyxoviridae;family
11157;Mononegavirales;order
2499407;Jingchuvirales;order
10486;Iridoviridae;family
43682;Ascoviridae;family
944644;Marseilleviridae;family
1762;Mycobacteriaceae;family
85025;Nocardiaceae;family
1268;Micrococcaceae;family
85021;Intrasporangiaceae;family
85023;Microbacteriaceae;family
85016;Cellulomonadaceae;family
2805590;Ornithinimicrobiaceae;family
145357;Dermacoccaceae;family
85017;Promicromonosporaceae;family
85018;Dermatophilaceae;family
85020;Dermabacteraceae;family
125316;Beutenbergiaceae;family
31957;Propionibacteriaceae;family
85015;Nocardioidaceae;family
83676;Nocardiopsaceae;family
2012;Thermomonosporaceae;family
2004;Streptosporangiaceae;family
1643824;Atopobiaceae;family
84107;Coriobacteriaceae;family
90964;Staphylococcaceae;family
186817;Bacillaceae;family
186823;Alicyclobacillaceae;family
186824;Thermoactinomycetaceae;family
186818;Planococcaceae;family
186822;Paenibacillaceae;family
186820;Listeriaceae;family
33958;Lactobacillaceae;family
1300;Streptococcaceae;family
81852;Enterococcaceae;family
186828;Carnobacteriaceae;family
186827;Aerococcaceae;family
186807;Peptococcaceae;family
216572;Oscillospiraceae;family
31979;Clostridiaceae;family
186804;Peptostreptococcaceae;family
186806;Eubacteriaceae;family
186803;Lachnospiraceae;family
31984;Heliobacteriaceae;family
68298;Syntrophomonadaceae;family
543314;Eubacteriales Family XIII. Incertae Sedis;family
972;Halanaerobiaceae;family
53434;Halobacteroidaceae;family
543371;Thermoanaerobacterales Family III. Incertae Sedis;family
186814;Thermoanaerobacteraceae;family
1570339;Peptoniphilaceae;family
1737406;Tissierellaceae;family
1843490;Sporomusaceae;family
1843491;Selenomonadaceae;family
33925;Entomoplasmataceae;family
1890450;Aphanothecaceae;family
1890464;Chroococcaceae;family
1892252;Microcoleaceae;family
1892254;Oscillatoriaceae;family
80811;Cystobacterineae;species
49;Polyangiaceae;family
213121;Desulfobulbaceae;family
213119;Desulfobacteraceae;family
194924;Desulfovibrionaceae;family
213422;Geobacteraceae;family
213421;Desulfuromonadaceae;family
213465;Syntrophobacteraceae;family
213468;Syntrophaceae;family
72294;Campylobacteraceae;family
72293;Helicobacteraceae;family
2771471;Thiovulaceae;family
2771472;Sulfurovaceae;family
224467;Nautiliaceae;family
2795691;Nitratiruptoraceae;family
171549;Bacteroidales;order
1970189;Marinilabiliales;order
49546;Flavobacteriaceae;family
2762318;Weeksellaceae;family
1853232;Hymenobacteraceae;family
563798;Cyclobacteriaceae;family
89373;Cytophagaceae;family
1501348;Amoebophilaceae;family
2691357;Pirellulaceae;family
2483367;Sedimentisphaeraceae;family
1963271;Halorubraceae;family
1644056;Haloferacaceae;family
2236;Halobacteriaceae;family
1963268;Haloarculaceae;family
2206;Methanosarcinaceae;family
1198451;Methanoregulaceae;family
2194;Methanomicrobiaceae;family
11158;Paramyxoviridae;family
11270;Rhabdoviridae;family
1513294;Nyamiviridae;family
1883067;Mymonaviridae;family
11244;Pneumoviridae;family
11266;Filoviridae;family
2501986;Artoviridae;family
178830;Bornaviridae;family
2501952;Chuviridae;family
31;Myxococcaceae;family
39;Archangiaceae;family
171552;Prevotellaceae;family
2005525;Tannerellaceae;family
2005520;Dysgonomonadaceae;family
171550;Rikenellaceae;family
2005473;Muribaculaceae;family
1853231;Odoribacteraceae;family
