id,domain,start,end
AB00016TDA,AAA_lid_9,342,444
AB00016TDA,Clp_N,17,68
AB00016TDA,Clp_N,94,145
AB00016TDA,AAA,203,334
AB00016TDA,ClpB_D2-small,767,845
AB00016TDA,Sigma54_activat,603,723
AB000176A3,AAA_lid_9,342,444
AB000176A3,ClpB_D2-small,764,844
AB000176A3,AAA,203,306
AB000176A3,Clp_N,17,66
AB000176A3,Clp_N,94,144
AB000176A3,Sigma54_activat,592,715
AB00018YLK,AAA_lid_9,340,436
AB00018YLK,AAA,201,313
AB00018YLK,ClpB_D2-small,709,782
AB00018YLK,Clp_N,19,63
AB00018YLK,Clp_N,91,138
AB00018YLK,Sigma54_activat,534,650
AB00018ZKK,AAA_lid_9,345,445
AB00018ZKK,ClpB_D2-small,773,853
AB00018ZKK,AAA,206,339
AB00018ZKK,Clp_N,19,70
AB00018ZKK,Clp_N,96,148
AB00018ZKK,Sigma54_activat,604,723
AB00019EJ0,Clp_N,17,66
AB00019EJ0,Clp_N,96,141
AB00019EJ0,AAA,209,321
AB00019EJ0,ClpB_D2-small,720,799
AB00019EJ0,Sigma54_activat,516,660
AB00019EJ0,UVR,422,456
AB00019FHA,AAA_lid_9,347,449
AB00019FHA,AAA,208,321
AB00019FHA,ClpB_D2-small,774,854
AB00019FHA,Clp_N,17,64
AB00019FHA,Clp_N,97,150
AB00019FHA,Sigma54_activat,607,709
AB00019H2S,Clp_N,17,66
AB00019H2S,Clp_N,97,142
AB00019H2S,ClpB_D2-small,741,819
AB00019H2S,AAA,230,341
AB00019H2S,Sigma54_activat,536,671
AB00019H2S,UVR,442,474
AB00019TBB,AAA_lid_9,343,445
AB00019TBB,ClpB_D2-small,766,846
AB00019TBB,Clp_N,17,68
AB00019TBB,Clp_N,94,145
AB00019TBB,AAA,204,317
AB00019TBB,Sigma54_activat,594,717
AB00019WGG,Clp_N,16,68
AB00019WGG,Clp_N,92,143
AB00019WGG,ClpB_D2-small,718,798
AB00019WGG,AAA,204,331
AB00019WGG,Sigma54_activat,512,658
AB00019WGG,UVR,416,450
AB00019WQ0,TPR_10,436,471
AB00019WQ0,TPR_10,482,523
AB00019WQ0,TPR_10,528,563
AB00019WQ0,TPR_10,574,617
AB00019WQ0,TPR_10,620,663
AB00019WQ0,TPR_10,666,709
AB00019WQ0,TPR_10,712,746
AB00019WQ0,TPR_10,758,793
AB00019WQ0,TPR_10,804,838
AB00019WQ0,TPR_10,850,884
AB00019WQ0,TPR_10,896,930
AB00019WQ0,TPR_10,942,976
AB00019WQ0,TPR_10,988,1029
AB00019WQ0,TPR_10,1034,1077
AB00019WQ0,TPR_10,1080,1114
AB00019WQ0,Clp_N,16,68
AB00019WQ0,Clp_N,93,142
AB00019WQ0,Clp_N,174,226
AB00019WQ0,Clp_N,250,300
AB00019WQ0,CHAT,1396,1711
AB00019WQ0,TPR_10,436,471
AB00019WQ0,TPR_10,482,523
AB00019WQ0,TPR_10,528,563
AB00019WQ0,TPR_10,574,617
AB00019WQ0,TPR_10,620,663
AB00019WQ0,TPR_10,666,709
AB00019WQ0,TPR_10,712,746
AB00019WQ0,TPR_10,758,793
AB00019WQ0,TPR_10,804,838
AB00019WQ0,TPR_10,850,884
AB00019WQ0,TPR_10,896,930
AB00019WQ0,TPR_10,942,976
AB00019WQ0,TPR_10,988,1029
AB00019WQ0,TPR_10,1034,1077
AB00019WQ0,TPR_10,1080,1114
AB00019WQ0,Clp_N,16,68
AB00019WQ0,Clp_N,93,142
AB00019WQ0,Clp_N,174,226
AB00019WQ0,Clp_N,250,300
AB00019WQ0,CHAT,1396,1711
AB00019WQ0,TPR_10,436,471
AB00019WQ0,TPR_10,482,523
AB00019WQ0,TPR_10,528,563
AB00019WQ0,TPR_10,574,617
AB00019WQ0,TPR_10,620,663
AB00019WQ0,TPR_10,666,709
AB00019WQ0,TPR_10,712,746
AB00019WQ0,TPR_10,758,793
AB00019WQ0,TPR_10,804,838
AB00019WQ0,TPR_10,850,884
AB00019WQ0,TPR_10,896,930
AB00019WQ0,TPR_10,942,976
AB00019WQ0,TPR_10,988,1029
AB00019WQ0,TPR_10,1034,1077
AB00019WQ0,TPR_10,1080,1114
AB00019WQ0,Clp_N,16,68
AB00019WQ0,Clp_N,93,142
AB00019WQ0,Clp_N,174,226
AB00019WQ0,Clp_N,250,300
AB00019WQ0,CHAT,1396,1711
AB00019X7T,Clp_N,16,68
AB00019X7T,Clp_N,92,143
AB00019X7T,ClpB_D2-small,717,797
AB00019X7T,AAA,205,331
AB00019X7T,Sigma54_activat,515,641
AB00019X7T,UVR,418,451
AB0001AI6C,Clp_N,113,160
AB0001AI6C,Clp_N,189,233
AB0001AJJ8,Clp_N,16,63
AB0001AJJ8,Clp_N,75,94
AB0001AJJ8,Clp_N,135,182
AB0001AK3R,Clp_N,16,64
AB0001AK3R,Clp_N,93,127
AB0001ALD7,Clp_N,16,68
AB0001ALD7,Clp_N,93,142
AB0001ALD7,ClpB_D2-small,721,801
AB0001ALD7,AAA,211,323
AB0001ALD7,Sigma54_activat,520,649
AB0001ALD7,UVR,424,455
AB0001AOST,Clp_N,20,63
AB0001AOST,Clp_N,100,142
AB0001BA6J,Clp_N,16,68
AB0001BA6J,Clp_N,94,146
AB0001BA6J,AAA,223,334
AB0001BA6J,ClpB_D2-small,733,813
AB0001BA6J,Sigma54_activat,536,676
AB0001BA6J,UVR,436,469
AB0001BDDX,AAA_lid_9,343,442
AB0001BDDX,Clp_N,17,68
AB0001BDDX,Clp_N,95,145
AB0001BDDX,AAA,203,316
AB0001BDDX,ClpB_D2-small,770,850
AB0001BDDX,Sigma54_activat,605,732
AB0001BSPF,AAA_lid_9,344,446
AB0001BSPF,ClpB_D2-small,767,847
AB0001BSPF,Clp_N,18,64
AB0001BSPF,Clp_N,95,146
AB0001BSPF,AAA,205,318
AB0001BSPF,Sigma54_activat,598,706
AB0001BZIO,AAA_lid_9,337,439
AB0001BZIO,ClpB_D2-small,766,846
AB0001BZIO,Clp_N,17,68
AB0001BZIO,Clp_N,97,140
AB0001BZIO,Sigma54_activat,597,715
AB0001BZIO,TniB,183,333
AB0001C0XB,AAA_lid_9,338,434
AB0001C0XB,AAA,199,311
AB0001C0XB,Clp_N,19,63
AB0001C0XB,Clp_N,92,139
AB0001C0XB,ClpB_D2-small,707,782
AB0001C0XB,Sigma54_activat,524,648
AB0001C0YT,AAA_lid_9,344,445
AB0001C0YT,ClpB_D2-small,777,857
AB0001C0YT,AAA,205,337
AB0001C0YT,Clp_N,19,64
AB0001C0YT,Clp_N,95,147
AB0001C0YT,Sigma54_activat,606,730
AB0001C2MP,Clp_N,19,65
AB0001C2MP,Clp_N,92,139
AB0001C9BR,AAA_lid_9,347,449
AB0001C9BR,AAA,208,321
AB0001C9BR,ClpB_D2-small,776,856
AB0001C9BR,Clp_N,17,68
AB0001C9BR,Clp_N,97,150
AB0001C9BR,Sigma54_activat,609,713
AB0001CCO9,Clp_N,16,68
AB0001CCO9,Clp_N,93,142
AB0001CCO9,ClpB_D2-small,722,802
AB0001CCO9,Sigma54_activat,532,649
AB0001CCO9,TniB,196,347
AB0001CCO9,UVR,425,459
AB0001CEXW,Clp_N,109,160
AB0001CEXW,Clp_N,188,233
AB0001CFVQ,AAA_lid_9,343,445
AB0001CFVQ,ClpB_D2-small,756,835
AB0001CFVQ,Clp_N,17,68
AB0001CFVQ,Clp_N,94,145
AB0001CFVQ,AAA,203,320
AB0001CFVQ,Sigma54_activat,600,703
AB0001CLN4,Clp_N,16,68
AB0001CLN4,Clp_N,93,142
AB0001CLN4,ClpB_D2-small,719,799
AB0001CLN4,TniB,192,344
AB0001CLN4,Sigma54_activat,538,663
AB0001CLN4,UVR,421,453
AB0001CN52,AAA_lid_9,343,445
AB0001CN52,Clp_N,19,68
AB0001CN52,Clp_N,95,146
AB0001CN52,ClpB_D2-small,766,846
AB0001CN52,AAA,204,334
AB0001CN52,Sigma54_activat,600,703
AB0001COJO,AAA_lid_9,347,449
AB0001COJO,AAA,208,339
AB0001COJO,ClpB_D2-small,776,856
AB0001COJO,Clp_N,17,68
AB0001COJO,Clp_N,97,150
AB0001COJO,Sigma54_activat,609,724
AB0001CX18,Clp_N,17,66
AB0001CX18,Clp_N,95,142
AB0001CX18,ClpB_D2-small,738,818
AB0001CX18,AAA,225,337
AB0001CX18,Sigma54_activat,531,669
AB0001CX18,UVR,437,469
AB0001CYPX,AAA_lid_9,345,438
AB0001CYPX,Clp_N,19,70
AB0001CYPX,Clp_N,97,148
AB0001CYPX,AAA,206,337
AB0001DELD,AAA_lid_9,347,449
AB0001DELD,ClpB_D2-small,770,850
AB0001DELD,AAA,207,342
AB0001DELD,Clp_N,30,66
AB0001DELD,Clp_N,98,149
AB0001DELD,Sigma54_activat,604,706
AB0001DIMD,AAA_lid_9,343,445
AB0001DIMD,ClpB_D2-small,756,835
AB0001DIMD,Clp_N,17,68
AB0001DIMD,Clp_N,96,145
AB0001DIMD,AAA,203,317
AB0001DIMD,Sigma54_activat,601,703
AB0001DK24,Clp_N,111,157
AB0001DK24,Clp_N,187,233
AB0001DMB5,Clp_N,16,68
AB0001DMB5,Clp_N,93,142
AB0001DMB5,ClpB_D2-small,722,802
AB0001DMB5,Sigma54_activat,532,651
AB0001DMB5,TniB,196,347
AB0001DMB5,UVR,425,459
AB0001ENGX,AAA_lid_9,343,445
AB0001ENGX,Clp_N,17,68
AB0001ENGX,Clp_N,95,146
AB0001ENGX,AAA,204,336
AB0001ENGX,ClpB_D2-small,769,849
AB0001ENGX,Sigma54_activat,600,723
AB0001G46Z,AAA_lid_9,345,436
AB0001G46Z,Clp_N,19,70
AB0001G46Z,Clp_N,97,148
AB0001G46Z,AAA_5,206,284
AB0001G59W,Clp_N,17,66
AB0001G59W,Clp_N,95,142
AB0001G59W,ClpB_D2-small,740,820
AB0001G59W,AAA,227,338
AB0001G59W,Sigma54_activat,533,671
AB0001G59W,UVR,439,471
AB0001GA8R,Clp_N,16,67
AB0001GA8R,Clp_N,91,143
AB0001GA8R,ClpB_D2-small,719,799
AB0001GA8R,AAA_5,209,287
AB0001GA8R,Sigma54_activat,543,646
AB0001GA8R,UVR,424,453
AB0001H3H4,Clp_N,16,68
AB0001H3H4,Clp_N,93,142
AB0001H3H4,ClpB_D2-small,722,802
AB0001H3H4,Sigma54_activat,532,651
AB0001H3H4,TniB,196,347
AB0001H3H4,UVR,425,459
AB0001H5FK,Clp_N,112,159
AB0001H5FK,Clp_N,187,234
AB0001H6RA,Clp_N,112,150
AB0001H6RA,Clp_N,192,237
AB0001H7UL,Clp_N,111,158
AB0001H7UL,Clp_N,188,233
AB0001HA5Y,Clp_N,16,68
AB0001HA5Y,Clp_N,93,142
AB0001HA5Y,ClpB_D2-small,720,800
AB0001HA5Y,TniB,193,344
AB0001HA5Y,UVR,422,454
AB0001HA5Y,Sigma54_activat,529,661
AB0001HDUZ,AAA_lid_9,345,447
AB0001HDUZ,Clp_N,17,66
AB0001HDUZ,Clp_N,95,143
AB0001HDUZ,ClpB_D2-small,719,799
AB0001HDUZ,Sigma54_activat,542,667
AB0001HDUZ,TniB,203,340
AB0001HII9,AAA_lid_9,344,446
AB0001HII9,ClpB_D2-small,773,853
AB0001HII9,Clp_N,18,68
AB0001HII9,Clp_N,95,147
AB0001HII9,Sigma54_activat,599,707
AB0001HII9,TniB,190,340
AB0001HIRA,Clp_N,17,69
AB0001HIRA,Clp_N,93,144
AB0001HIRA,ClpB_D2-small,723,802
AB0001HIRA,Sigma54_activat,548,653
AB0001HIRA,UVR,424,458
AB0001HIRA,TniB,195,345
AB0001HTNP,AAA_lid_9,373,474
AB0001HTNP,ClpB_D2-small,746,825
AB0001HTNP,AAA,235,351
AB0001HTNP,Clp_N,17,64
AB0001HTNP,Clp_N,98,144
AB0001HTNP,Sigma54_activat,570,683
AB0001HX0W,AAA_lid_9,356,457
AB0001HX0W,Clp_N,20,68
AB0001HX0W,Clp_N,95,146
AB0001HX0W,ClpB_D2-small,732,812
AB0001HX0W,AAA,220,330
AB0001HX0W,Sigma54_activat,555,674
AB0001HYWK,AAA_lid_9,347,446
AB0001HYWK,ClpB_D2-small,715,795
AB0001HYWK,Clp_N,17,68
AB0001HYWK,Clp_N,97,149
AB0001HYWK,AAA,207,324
AB0001HYWK,Sigma54_activat,541,662
AB0001HZ31,AAA_lid_9,344,446
AB0001HZ31,Clp_N,19,70
AB0001HZ31,Clp_N,96,148
AB0001HZ31,ClpB_D2-small,770,849
AB0001HZ31,Sigma54_activat,602,722
AB0001HZ31,TniB,190,340
AB0001I871,AAA_lid_9,344,446
AB0001I871,ClpB_D2-small,773,850
AB0001I871,Clp_N,18,68
AB0001I871,Clp_N,95,147
AB0001I871,AAA,205,337
AB0001I871,Sigma54_activat,605,732
AB0001IB1T,AAA_lid_9,345,447
AB0001IB1T,ClpB_D2-small,767,846
AB0001IB1T,AAA,206,337
AB0001IB1T,Clp_N,17,68
AB0001IB1T,Clp_N,96,148
AB0001IB1T,AAA_5,602,721
AB0001IPLV,AAA_lid_9,339,438
AB0001IPLV,AAA,200,332
AB0001IPLV,ClpB_D2-small,769,849
AB0001IPLV,Clp_N,17,66
AB0001IPLV,Clp_N,92,142
AB0001IPLV,Sigma54_activat,603,705
AB0001J6RT,Clp_N,19,69
AB0001J6RT,Clp_N,95,144
AB0001J6RT,ClpB_D2-small,720,800
AB0001J6RT,AAA_5,208,325
AB0001J6RT,Sigma54_activat,519,662
AB0001J6RT,UVR,422,454
AB0001JZN1,AAA_lid_9,342,444
AB0001JZN1,ClpB_D2-small,763,843
AB0001JZN1,Clp_N,17,69
AB0001JZN1,Clp_N,98,144
AB0001JZN1,AAA,203,320
AB0001JZN1,AAA_5,601,721
AB0001K22X,AAA_lid_9,345,447
AB0001K22X,ClpB_D2-small,767,847
AB0001K22X,Clp_N,17,68
AB0001K22X,Clp_N,96,148
AB0001K22X,AAA,206,323
AB0001K22X,AAA_5,602,722
AB0001K250,AAA_lid_9,345,447
AB0001K250,Clp_N,17,69
AB0001K250,Clp_N,96,148
AB0001K250,ClpB_D2-small,767,847
AB0001K250,AAA,206,323
AB0001K250,AAA_5,602,722
AB0001KNFB,AAA_lid_9,341,441
AB0001KNFB,AAA,201,314
AB0001KNFB,ClpB_D2-small,710,790
AB0001KNFB,Clp_N,16,66
AB0001KNFB,Clp_N,91,133
AB0001KNFB,Sigma54_activat,515,640
AB0001KPK5,AAA_lid_9,434,534
AB0001KPK5,Clp_N,108,156
AB0001KPK5,Clp_N,183,230
AB0001KPK5,ClpB_D2-small,802,881
AB0001KPK5,Sigma54_activat,625,760
AB0001KPK5,TniB,276,432
AB0001KQ9D,AAA_lid_9,341,440
AB0001KQ9D,Clp_N,17,68
AB0001KQ9D,Clp_N,92,143
AB0001KQ9D,ClpB_D2-small,770,850
AB0001KQ9D,AAA,201,332
AB0001KQ9D,Sigma54_activat,601,720
AB0001KQRE,AAA_lid_9,345,423
AB0001KQRE,AAA,207,339
AB0001KQRE,Clp_N,25,70
AB0001KQRE,Clp_N,100,151
AB0001KQRE,ClpB_D2-small,647,728
AB0001KQRE,Sigma54_activat,482,599
AB0001KQT0,Clp_N,16,68
AB0001KQT0,Clp_N,91,140
AB0001KQT0,ClpB_D2-small,723,802
